count,value
4,Business and Management
4,Political Communication
4,Political Science and International Relations
4,Social Sciences
3,Branding
3,Comparative Politics
3,Gender Studies
2,Consumer Behavior
2,Criminology and Criminal Justice
2,"Criminology and Criminal Justice, general"
2,Cultural Studies
2,Ethics
2,European Politics
2,International Security Studies
2,Music
2,Online Marketing/Social Media
2,Security Science and Technology
2,Sociology of Culture
1,Anthropology
1,Artificial Intelligence (incl. Robotics)
