count,value
29,Journal of Child and Family Studies
27,Journal of Immigrant and Minority Health
26,Journal of Youth and Adolescence
20,Journal of Racial and Ethnic Health Disparities
14,BMC Public Health
12,Journal of Business Ethics
11,Archives of Sexual Behavior
11,Journal of Abnormal Child Psychology
11,Journal of Autism and Developmental Disorders
10,Ethnogeriatrics
10,Prevention Science
9,Asian American Parenting
9,Community Mental Health Journal
9,Journal of Community Health
9,Mindfulness
9,Sex Roles
9,Transition and Change in Collectivist Family Life
8,Journal of Psychopathology and Behavioral Assessment
7,AIDS and Behavior
7,Child & Youth Care Forum
