count,value
333,Medicine & Public Health
294,Psychology
209,Public Health
153,Child and School Psychology
141,Education
140,Social Sciences
139,"Sociology, general"
98,Clinical Psychology
90,Quality of Life Research
90,"Social Sciences, general"
86,"Medicine/Public Health, general"
84,Health Psychology
81,Psychiatry
75,"Psychology, general"
56,Personality and Social Psychology
49,Epidemiology
47,Community and Environmental Psychology
46,"Education, general"
43,Biomedicine
42,Educational Policy and Politics
