count,value
7,"Economics, general"
5,Economic Geography
5,International Business
5,Life Sciences
5,Political Science
5,Political Science and International Relations
5,"World History, Global and Transnational History"
5,"World Regional Geography (Continents, Countries, Regions)"
4,Plant Sciences
3,"Life Sciences, general"
3,Medicine & Public Health
3,Plant Ecology
3,Plant Systematics/Taxonomy/Biogeography
2,Agriculture
2,"Biochemistry, general"
2,Biotechnology
2,"Chemistry/Food Science, general"
2,Cultural and Media Studies
2,"History, general"
2,"Medicine/Public Health, general"
