count,value
13,American Nightmare
8,Society
6,Psychoanalyzing the Left and Right after Donald Trump
5,International Politics Reviews
4,Development
3,Constitutional Literacy
3,Designing Networks for Innovation and Improvisation
3,"Global Encyclopedia of Public Administration, Public Policy, and Governance"
3,Google It
3,Latino Studies
3,PharmacoEconomics & Outcomes News
3,Social Informatics
3,The Boundaries of Belonging
3,The Morality of Radical Economics
2,Der Freie Zahnarzt
2,Dialectical Anthropology
2,Digital Participatory Culture and the TV Audience
2,IIC - International Review of Intellectual Property and Competition Law
2,Intersections of Religion and Migration
2,Islamophobia and Securitization
