count,value
733,Computer Science
689,User Interfaces and Human Computer Interaction
137,Information Systems Applications (incl. Internet)
117,Computer Communication Networks
111,Multimedia Information Systems
108,Artificial Intelligence (incl. Robotics)
103,Image Processing and Computer Vision
92,Health Informatics
91,Imaging / Radiology
91,Robotics and Automation
91,Surgery
77,Computer Hardware
62,"Engineering Economics, Organization, Logistics, Marketing"
60,"Control, Robotics, Mechatronics"
55,"Social Sciences, general"
51,Computers and Education
51,"Education, general"
49,Management of Computing and Information Systems
38,Educational Technology
37,"Computer Science, general"
