count,value
163,Human-Computer Interaction – INTERACT 2007
136,Human-Computer Interaction. Interaction Platforms and Techniques
133,Human-Computer Interaction. Interaction Design and Usability
132,Human-Computer Interaction. HCI Applications and Services
125,Human Interface and the Management of Information. Interacting in Information Environments
121,Ubiquitous Intelligence and Computing
120,Advances in Artificial Life
118,Digital Human Modeling
118,New Trends in Applied Artificial Intelligence
116,Universal Acess in Human Computer Interaction. Coping with Diversity
115,"Human Interface and the Management of Information. Methods, Techniques and Tools in Information Design"
115,Universal Access in Human-Computer Interaction. Ambient Interaction
113,"Advances in Databases: Concepts, Systems and Applications"
113,Human-Computer Interaction. HCI Intelligent Multimodal Interaction Environments
110,Agent and Multi-Agent Systems: Technologies and Applications
109,Universal Access in Human-Computer Interaction. Applications and Services
97,On the Move to Meaningful Internet Systems 2007: OTM 2007 Workshops
95,Engineering Psychology and Cognitive Ergonomics
94,Affective Computing and Intelligent Interaction
92,Technologies for E-Learning and Digital Entertainment
