count,value
365,Multimedia Tools and Applications
287,EURASIP Journal on Wireless Communications and Networking
282,BMC Public Health
255,Reactions Weekly
234,Neural Information Processing
232,PharmacoEconomics & Outcomes News
218,Wireless Personal Communications
196,Computer Vision – ECCV 2016 Workshops
186,HCI International 2016 – Posters' Extended Abstracts
166,Intelligent Computing Theories and Application
165,SpringerPlus
163,Computers Helping People with Special Needs
153,Intelligent Information and Database Systems
152,Computational Science and Its Applications – ICCSA 2016
147,Encyclopedia of Database Systems
147,Web Technologies and Applications
143,BMC Health Services Research
141,Proceedings of the Mediterranean Conference on Information & Communication Technologies 2015
139,Machine Learning and Knowledge Discovery in Databases
133,Artificial Intelligence and Soft Computing
