count,value
6,The Palgrave Handbook of Global Counterterrorism Policy
5,Counter-terrorism and the Prospects of Human Rights
5,"September 11, 2001 as a Cultural Trauma"
5,The “Other” In 9/11 Literature
4,Memory and the Wars on Terror
4,Stock Markets in Islamic Countries
4,The Second Cold War
3,9/11 in European Literature
3,Clinical Social Work Journal
3,Political Islam in a Time of Revolt
3,The Obama Presidency and the Politics of Change
3,The Palgrave Handbook of Organizational Change Thinkers
2,Contemporary Italian Narrative and 1970s Terrorism
2,Current Psychiatry Reports
2,Deep Drama
2,Encyclopedia of Geropsychology
2,International Politics
2,"Juries, Science and Popular Culture in the Age of Terror"
2,Reconstruction of the Public Sphere in the Socially Mediated Age
2,"Religious Beliefs, Evolutionary Psychiatry, and Mental Health in America"
