count,value
1,"
              Web 1.0Web 1.0
                            
            "
1,"
              Web 2.0Web 2.0
                            
            "
1,"
              Web 3.0Web 3.0
                            
            "
1,"
              Web 4.0Web 4.0
                            
            "
1,Blogging
1,Community management
1,Gamification
1,Internet of Things
1,Social bookmarking
1,Social media tools
1,Social media trilogy
1,Social media types
1,Social ripple effect
1,User-generated content
