count,value
58,The New Palgrave Dictionary of Economics
24,"Problems, Methods and Tools in Experimental and Behavioral Economics"
21,Journal of Business Ethics
16,Psychopharmacology
15,Scientific Reports
13,Behavioral Economics and Bioethics
13,Experimental Economics
13,The Palgrave Encyclopedia of Strategic Management
12,Computational Economics
11,Behavioral Economics
11,Energy Efficiency
11,Illustrating Finance Policy with Mathematica
11,Journal of Consumer Policy
11,Journal of Evolutionary Economics
10,BMC Public Health
8,Journal of Bioeconomics
8,Journal of General Internal Medicine
8,Journal of Risk and Uncertainty
8,Welfare State Reforms Seen from Below
7,Building Financial Resilience
