count,value
693,Computer Science
606,Medicine & Public Health
427,Mathematics
402,Physics
386,Theory of Computation
362,"Computer Science, general"
330,Engineering
294,Neurosciences
260,Imaging / Radiology
213,Characterization and Evaluation of Materials
202,Health Informatics
193,Psychology
174,Biomedical Engineering
174,Life Sciences
168,"Mathematics, general"
159,Computer Applications
159,Earth Sciences
152,Biomedicine
152,Human Physiology
152,"Programming Languages, Compilers, Interpreters"
