count,value
8719,Computer Science
3125,Artificial Intelligence (incl. Robotics)
2750,Engineering
1993,Theory of Computation
1992,Mathematics
1961,Software Engineering/Programming and Operating Systems
1580,Medicine & Public Health
1475,"Computer Science, general"
1439,Software Engineering
1323,Programming Techniques
1273,Database Management
1252,Electrical Engineering
1157,"Programming Languages, Compilers, Interpreters"
1102,Physics
1030,Computer Systems Organization and Communication Networks
989,Combinatorics
977,Pattern Recognition
957,Computer Communication Networks
920,Logics and Meanings of Programs
902,Image Processing and Computer Vision
