count,value
778,Knowledge-Based Intelligent Information and Engineering Systems
461,Computational Science — ICCS 2003
305,Computational Science and Its Applications — ICCSA 2003
285,Genetic and Evolutionary Computation — GECCO 2003
246,e & i Elektrotechnik und Informationstechnik
236,Medical Image Computing and Computer-Assisted Intervention - MICCAI 2003
202,Foundations of Intelligent Systems
192,Advances in Artificial Life
182,AI 2003: Advances in Artificial Intelligence
179,Euro-Par 2003 Parallel Processing
178,Automation and Remote Control
169,Experimental Brain Research
164,Intelligent Data Engineering and Automated Learning
153,Wuhan University Journal of Natural Sciences
152,Image Analysis
150,Algorithms and Computation
146,Field Programmable Logic and Application
146,The International Journal of Advanced Manufacturing Technology
143,Neural Networks and Soft Computing
140,Artificial Neural Networks and Neural Information Processing — ICANN/ICONIP 2003
