count,value
15641,Scientific Reports
2010,The International Journal of Advanced Manufacturing Technology
1954,Nature Communications
1273,Environmental Science and Pollution Research
1238,Wireless Personal Communications
1061,Multimedia Tools and Applications
1004,BMC Public Health
921,BMC Genomics
886,Journal of Materials Science
833,BMC Cancer
804,BMC Health Services Research
703,Cluster Computing
698,BMC Infectious Diseases
678,Journal of Materials Science: Materials in Electronics
643,Journal of Materials Engineering and Performance
609,BMC Research Notes
598,Trials
545,Parasites & Vectors
542,Journal of Business Ethics
537,BMC Bioinformatics
