count,value
47047,Medicine & Public Health
32722,Engineering
30246,Computer Science
20661,Life Sciences
18427,Artificial Intelligence (incl. Robotics)
18300,"Science, Humanities and Social Sciences, multidisciplinary"
17603,"Science, multidisciplinary"
16861,Biomedicine
11371,Computer Communication Networks
10474,Chemistry
8930,Business and Management
8876,Public Health
8819,Characterization and Evaluation of Materials
8666,Information Systems Applications (incl. Internet)
8093,Internal Medicine
8090,Materials Science
7889,Education
7826,Oncology
7736,"Medicine/Public Health, general"
7161,Computational Intelligence
