count,value
61,Computer Science
44,User Interfaces and Human Computer Interaction
27,Computer Appl. in Arts and Humanities
27,Engineering
25,Education
21,Information Systems Applications (incl. Internet)
20,Artificial Intelligence (incl. Robotics)
20,Cultural and Media Studies
17,Media and Communication
15,Media Design
13,Software Engineering
11,Aerospace Technology and Astronautics
11,"Communications Engineering, Networks"
11,Philosophy
10,Computer Communication Networks
10,Computers and Society
10,Control
10,Energy Systems
10,Higher Education
10,Multimedia Information Systems
