count,value
3,Journal of Digital Asset Management
1,Berliner Journal für Soziologie
1,BMC Medical Education
1,Genome Biology
1,Human-Computer Interaction – INTERACT 2007
1,Information Technology and Management
1,"Journal of Direct, Data and Digital Marketing Practice"
1,Journal of Network and Systems Management
1,"Journal of Targeting, Measurement and Analysis for Marketing"
1,"Knowledge, Technology & Policy"
1,Publishing Research Quarterly
1,Smart Sensing and Context
1,Sustainable Internet
1,Topoi
