count,value
97,Multimedia Tools and Applications
56,"Design, User Experience, and Usability: Designing Pleasurable Experiences"
56,"Design, User Experience, and Usability: Theory, Methodology, and Management"
56,"Design, User Experience, and Usability: Understanding Users and Contexts"
52,Wireless Personal Communications
42,Human-Computer Interaction – INTERACT 2017
38,"Human Aspects of IT for the Aged Population. Aging, Design and User Experience"
37,Universal Access in the Information Society
34,Cross-Cultural Design
31,Human-Computer Interaction - INTERACT 2017
31,Personal and Ubiquitous Computing
25,Human-Computer Interaction. Interaction Contexts
24,HCI International 2017 – Posters' Extended Abstracts
23,Cluster Computing
22,Encyclopedia of Social Network Analysis and Mining
22,Handbook of Digital Games and Entertainment Technologies
21,"Advances in Ergonomics Modeling, Usability & Special Populations"
21,Information Systems Frontiers
21,"Virtual, Augmented and Mixed Reality"
20,"Augmented Reality, Virtual Reality, and Computer Graphics"
