count,value
5,Journal of Zhejiang University-SCIENCE B
1,Advances in Atmospheric Sciences
1,"Human-Computer Interaction. User Interface Design, Development and Multimodality"
1,IIC - International Review of Intellectual Property and Competition Law
1,International Symposium for Intelligent Transportation and Smart City (ITASC) 2017 Proceedings
1,Journal of Nuclear Cardiology
1,Journal of Zhejiang University-SCIENCE A
1,Lingua Sinica
1,Science China Materials
1,The Internet in China
1,Translation and Health Risk Knowledge Building in China
