count,value
840511,Computer Science
376326,Artificial Intelligence (incl. Robotics)
351073,Engineering
263142,Computer Communication Networks
213905,Information Systems Applications (incl. Internet)
193357,Medicine & Public Health
146788,Information Storage and Retrieval
145847,Algorithm Analysis and Problem Complexity
129045,Software Engineering
122036,Mathematics
120895,Image Processing and Computer Vision
107575,Software Engineering/Programming and Operating Systems
107125,Theory of Computation
106245,User Interfaces and Human Computer Interaction
104614,Pattern Recognition
104426,Life Sciences
100228,Data Mining and Knowledge Discovery
99333,Database Management
93928,"Computer Science, general"
91410,Computational Intelligence
