count,value
3063,Scientific Reports
1903,Multimedia Tools and Applications
1894,The International Journal of Advanced Manufacturing Technology
1583,Encyclopedia of Social Network Analysis and Mining
1470,Encyclopedia of Database Systems
1112,Neural Computing and Applications
1045,Cluster Computing
955,Encyclopedia of Clinical Neuropsychology
917,Nature Communications
912,Wireless Personal Communications
778,Computer Vision – ECCV 2018
631,Soft Computing
537,BMC Bioinformatics
522,The Journal of Supercomputing
451,Journal of Ambient Intelligence and Humanized Computing
429,Optical and Quantum Electronics
407,Wireless Networks
402,Neural Information Processing
401,Scientometrics
386,Cloud Computing and Security
