count,value
1067,Reactions
763,Pediatric Research
716,Journal of Cancer Research and Clinical Oncology
625,Fresenius' Zeitschrift für analytische Chemie
574,Bulletin of Experimental Biology and Medicine
451,Langenbecks Archiv für Chirurgie
409,Pediatric Cardiology
328,Diseases of the Colon & Rectum
295,Digestive Diseases and Sciences
289,Human Genetics
257,British Journal of Cancer
237,Klinische Wochenschrift
236,Chromatographia
233,European Journal of Pediatrics
225,World Journal of Surgery
217,Nature
204,Histochemistry
196,Diabetologia
194,European Journal of Clinical Microbiology
190,Acta Neuropathologica
