count,value
3,Gender and Political Violence
2,Encyclopedia of Security and Emergency Management
1,Advances in Advertising Research IX
1,Aesthetico-Cultural Cosmopolitanism and French Youth
1,Fashion & Music
1,From Body Fuel to Universal Poison
1,"Girls, Autobiography, Media"
1,Handbook of Disaster Research
1,Handbuch Musik und Medien
1,Human Arenas
1,Information Technology & Tourism
1,Nature
1,Personal Brand Creation in the Digital Age
1,Philosophical Studies
1,Soft Computing
1,Terrorismusabwehr
1,The British General Election of 2017
