count,value
5,The Statesman’s Year-Book
2,Economic Botany
2,Sale of Offices in the Seventeenth Century
1,Archiv für Dermatologie und Syphilis
1,Catalogue of Books and Periodical Sets on Voyages and Travels
1,Der Züchter
1,Ergebnisse der Inneren Medizin und Kinderheilkunde
1,Experientia
1,Geofisica pura e applicata
1,Goethe und der Staat
1,JOM
1,Journal of the American Oil Chemists Society
1,Music in Java
1,Pocken und Pockenschutzimpfung
1,The Botanical Review
1,Zahnmedizin
1,Zeitschrift für Parasitenkunde
