count,value
5749,Computer Science
4628,Life Sciences
4195,Engineering
3499,Medicine & Public Health
3190,Artificial Intelligence (incl. Robotics)
2767,Chemistry
1984,Earth Sciences
1910,Biomedicine
1906,Information Systems Applications (incl. Internet)
1891,"Life Sciences, general"
1824,"Physics, general"
1715,Computer Communication Networks
1699,Plant Sciences
1695,Mathematics
1516,Physics
1500,"Engineering, general"
1485,Physical Chemistry
1418,Data Mining and Knowledge Discovery
1389,Theory of Computation
1384,"Biochemistry, general"
