count,value
39,Social Sciences
30,Political Science
25,Political Science and International Relations
21,Computer Science
19,Education
17,Cultural and Media Studies
16,Data Mining and Knowledge Discovery
15,Artificial Intelligence (incl. Robotics)
14,"Education, general"
14,Psychology
14,"Sociology, general"
13,Economics
13,Information Systems Applications (incl. Internet)
13,Migration
12,Political Theory
11,"Social Sciences, general"
10,Information Storage and Retrieval
9,Economic Policy
9,International Relations
9,Political Economy
