count,value
247,Converging Clinical and Engineering Research on Neurorehabilitation II
237,Intelligent Robotics and Applications
190,Multimedia Tools and Applications
176,HCI International 2017 – Posters' Extended Abstracts
163,Education and Information Technologies
163,Journal of Ambient Intelligence and Humanized Computing
143,Computer Vision – ACCV 2016
137,Image Analysis and Processing - ICIAP 2017
117,Universal Access in the Information Society
99,Human-Computer Interaction – INTERACT 2017
91,Personal and Ubiquitous Computing
85,Emerging Technologies for Education
83,Artificial Intelligence in Education
78,"Augmented Reality, Virtual Reality, and Computer Graphics"
74,Social Robotics
73,Wearable Robotics: Challenges and Trends
69,Advances in Visual Informatics
68,Tomorrow's Learning: Involving Everyone. Learning with and about Technologies and Computing
67,Advances in Affective and Pleasurable Design
62,Human-Computer Interaction - INTERACT 2017
