count,value
6805,User Interfaces and Human Computer Interaction
6303,Computer Science
4001,Artificial Intelligence (incl. Robotics)
2276,Information Systems Applications (incl. Internet)
1844,Engineering
1748,Computer Communication Networks
1584,Computers and Education
1315,Special Purpose and Application-Based Systems
1135,Image Processing and Computer Vision
1061,Computers and Society
997,Computational Intelligence
959,Computer Appl. in Social and Behavioral Sciences
909,Software Engineering
908,Information Storage and Retrieval
789,"Computer Imaging, Vision, Pattern Recognition and Graphics"
742,Computer Graphics
728,Computer Applications
670,Robotics and Automation
606,Data Mining and Knowledge Discovery
521,Multimedia Information Systems
