count,value
20564,Computer Science
14645,Information Systems Applications (incl. Internet)
10515,Artificial Intelligence (incl. Robotics)
7546,Medicine & Public Health
6877,Information Storage and Retrieval
6741,Computer Communication Networks
5622,Data Mining and Knowledge Discovery
4938,Engineering
4750,User Interfaces and Human Computer Interaction
4253,Algorithm Analysis and Problem Complexity
4152,Database Management
4053,Business and Management
3892,Software Engineering
3047,Computers and Society
2810,Pattern Recognition
2414,"Communications Engineering, Networks"
2379,Systems and Data Security
2322,Image Processing and Computer Vision
2206,Public Health
2194,Management of Computing and Information Systems
