count,value
4,Education
4,Psychology
3,"Social Sciences, general"
2,Gender and Education
2,Gender Studies
2,Higher Education
2,Public Health
2,"Science, Humanities and Social Sciences, multidisciplinary"
2,Sexual Behavior
1,Child and School Psychology
1,Clinical Psychology
1,Computers and Society
1,Critical Criminology
1,Cultural Policy and Politics
1,Educational Technology
1,Electoral Politics
1,Environmental Sociology
1,Ethnicity in Education
1,Forensic Psychology
1,"Humanities and Social Sciences, multidisciplinary"
