count,value
402,Economics
164,Business and Management
158,Economic Theory/Quantitative Economics/Mathematical Methods
122,"Economics, general"
113,Behavioral/Experimental Economics
105,Medicine & Public Health
82,Social Sciences
81,Philosophy
77,Microeconomics
77,Operations Research/Decision Theory
74,Political Economy/Economic Policy
74,Psychology
71,Computer Science
71,Environmental Economics
68,"Business and Management, general"
68,Public Finance
67,Management
61,Public Health
58,Business Mathematics
51,Quality of Life Research
