count,value
132,Medical and Biological Engineering and Computing
94,Behavior Research Methods & Instrumentation
64,Neuroradiology
64,Optical and Quantum Electronics
59,Journal of the International Association for Mathematical Geology
53,Medical Informatics Europe 78
51,Mathematical Foundations of Computer Science 1978
51,Proceedings of the XI. Symposium Neuroradiologicum
50,Acta Informatica
50,Optimization Techniques Part 1
48,Current Topics in Cybernetics and Systems
47,Cybernetics
46,Bildverarbeitung und Mustererkennung
46,Computers and the Humanities
46,Journal of Optimization Theory and Applications
44,Annales des Télécommunications
37,"Automata, Languages and Programming"
37,Treatment of Hydrocephalus Computer Tomography
35,Information Systems Methodology
35,Simulationsmethoden in der Medizin und Biologie
