count,value
42157,Computer Science
22584,Engineering
19428,Artificial Intelligence (incl. Robotics)
13392,Information Systems Applications (incl. Internet)
10318,Medicine & Public Health
9997,Computer Communication Networks
8802,Information Storage and Retrieval
7741,Data Mining and Knowledge Discovery
7381,Algorithm Analysis and Problem Complexity
6810,"Computer Science, general"
6750,User Interfaces and Human Computer Interaction
6436,Computational Intelligence
6384,Image Processing and Computer Vision
5683,Pattern Recognition
5651,Software Engineering
5571,"Signal, Image and Speech Processing"
5391,"Communications Engineering, Networks"
5281,Mathematics
5101,Life Sciences
4683,Database Management
