count,value
10,Variable Structure Control of Complex Systems
6,Handbook of Digital Games and Entertainment Technologies
6,"Movement, Time, Technology, and Art"
5,Emergence in Interactive Art
4,Digital Bodies
4,Multimedia Tools and Applications
3,A NIME Reader
3,"Art, Design and Technology: Collaboration and Implementation"
3,Digital Urban Acupuncture
3,"Distributed, Ambient and Pervasive Interactions"
3,Financial Cryptography and Data Security
3,Foundations of Science
3,Interactive Storytelling
3,"Interactivity, Game Creation, Design, Learning, and Innovation"
3,The In-Discipline of Design
2,Aesthetics of Interdisciplinarity: Art and Mathematics
2,"Computational Intelligence in Music, Sound, Art and Design"
2,Creating with Mobile Media
2,"Design, User Experience, and Usability: Designing Pleasurable Experiences"
2,"Design, User Experience, and Usability: Understanding Users and Contexts"
