count,value
6,Business and Management
6,"Business and Management, general"
4,Computer Communication Networks
4,Computer Science
3,Information Systems Applications (incl. Internet)
2,Information Systems and Communication Service
2,Operation Research/Decision Theory
2,Philosophy
2,Philosophy of Science
2,Philosophy of Technology
2,"Social Sciences, general"
2,User Interfaces and Human Computer Interaction
1,Algorithm Analysis and Problem Complexity
1,Animal Genetics and Genomics
1,Artificial Intelligence (incl. Robotics)
1,Bioinformatics
1,"Communications Engineering, Networks"
1,Computation by Abstract Devices
1,Computer Systems Organization and Communication Networks
1,Computers and Education
