count,value
2301,Computer Science
1259,User Interfaces and Human Computer Interaction
1008,Information Systems Applications (incl. Internet)
959,Artificial Intelligence (incl. Robotics)
821,Computer Communication Networks
750,Engineering
509,Software Engineering
456,Information Storage and Retrieval
431,Computers and Society
398,Computers and Education
385,Business and Management
350,Special Purpose and Application-Based Systems
309,"Communications Engineering, Networks"
295,Medicine & Public Health
288,Computational Intelligence
253,Computer Appl. in Social and Behavioral Sciences
245,Computer Systems Organization and Communication Networks
237,Data Mining and Knowledge Discovery
227,Systems and Data Security
202,Multimedia Information Systems
