count,value
21376,Computer Science and Communications Dictionary
16176,The International Journal of Advanced Manufacturing Technology
9464,BMC Bioinformatics
8409,Wireless Personal Communications
8087,Multimedia Tools and Applications
7616,Scientific Reports
5926,Encyclopedia of Database Systems
5791,Scientometrics
5667,Optical and Quantum Electronics
5098,Nature
4284,The New Palgrave Dictionary of Economics
4155,Neural Computing and Applications
4122,Journal of Molecular Modeling
3978,Neural Information Processing
3739,Encyclopedia of GIS
3708,Experimental Brain Research
3600,Knowledge-Based Intelligent Information and Engineering Systems
3572,Automation and Remote Control
3534,Medical and Biological Engineering and Computing
3515,The Journal of Supercomputing
