count,value
840581,Computer Science
376324,Artificial Intelligence (incl. Robotics)
351337,Engineering
263155,Computer Communication Networks
213905,Information Systems Applications (incl. Internet)
193411,Medicine & Public Health
146798,Information Storage and Retrieval
145847,Algorithm Analysis and Problem Complexity
129045,Software Engineering
122046,Mathematics
120903,Image Processing and Computer Vision
107577,Software Engineering/Programming and Operating Systems
107129,Theory of Computation
106250,User Interfaces and Human Computer Interaction
104617,Pattern Recognition
104438,Life Sciences
100237,Data Mining and Knowledge Discovery
99341,Database Management
93974,"Computer Science, general"
91468,Computational Intelligence
