count,value
481,Computational Mechanics ’88
126,Medical and Biological Engineering and Computing
123,"Behavior Research Methods, Instruments, & Computers"
109,Artificial Intelligence and Other Innovative Computer Applications in the Nuclear Industry
94,The Electronics Assembly Handbook
88,Systems Analysis and Simulation II
84,Systems Analysis and Simulation I
78,Simulationstechnik
74,Expert Systems and Decision Support in Medicine
73,9th International Conference on Automated Deduction
71,Mathematical Geology
68,Biological Cybernetics
67,Prozeßrechensysteme ’88
66,Pattern Recognition
66,The Visual Computer
65,Scientometrics
63,Supercomputing
62,Nature
61,Annals of Operations Research
61,New Trends in Computer Graphics
