count,value
4,Cultural and Media Studies
4,Media and Communication
3,Communication Studies
2,Computer Science
2,Data Mining and Knowledge Discovery
1,Artificial Intelligence (incl. Robotics)
1,Business and Management
1,Business Information Systems
1,Computation by Abstract Devices
1,Computational Intelligence
1,Computer Appl. in Administrative Data Processing
1,Computer Communication Networks
1,"Computer Science, general"
1,Computing Methodologies
1,Digital/New Media
1,Engineering
1,European Law
1,Image Processing and Computer Vision
1,International Sports Law
1,Law
